glottocode,url,total_resources,dictionary,grammar_sketch,grammar,phonology,text,wordlist,comparative,minimal,dialectology,ethnographic,overview,bibliographical,specific_feature,socling,new_testament,unknown,status
apia1248,https://glottolog.org/langdoc?language=apia1248,34,0,0,0,1,1,11,5,1,0,10,11,0,1,0,0,0,ok
keig1242,https://glottolog.org/langdoc?language=keig1242,15,0,1,0,0,1,5,6,0,0,0,4,0,0,2,0,0,ok
sese1246,https://glottolog.org/langdoc?language=sese1246,31,4,4,4,0,1,0,0,0,0,0,0,0,3,1,0,0,ok
mwer1248,https://glottolog.org/langdoc?language=mwer1248,25,0,2,2,1,0,1,2,0,0,4,4,1,2,0,0,0,ok
kora1294,https://glottolog.org/langdoc?language=kora1294,46,1,2,2,1,1,1,6,0,0,1,4,0,0,0,1,0,ok
izii1239,https://glottolog.org/langdoc?language=izii1239,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ok
gabo1234,https://glottolog.org/langdoc?language=gabo1234,9,0,0,0,2,0,0,1,0,0,0,2,0,4,0,0,0,ok
sout2990,https://glottolog.org/langdoc?language=sout2990,34,4,1,0,0,2,0,2,1,0,1,2,0,0,0,0,0,ok
kand1301,https://glottolog.org/langdoc?language=kand1301,5,0,0,0,0,1,1,3,0,0,1,2,0,0,0,0,0,ok
cand1248,https://glottolog.org/langdoc?language=cand1248,99,2,4,0,2,2,5,12,2,0,7,10,0,4,1,1,0,ok
newa1246,https://glottolog.org/langdoc?language=newa1246,79,7,14,7,4,1,10,7,1,0,0,6,1,9,2,0,0,ok
cent2041,https://glottolog.org/langdoc?language=cent2041,3,0,0,0,0,0,0,2,0,0,0,3,0,1,1,0,0,ok
masa1307,https://glottolog.org/langdoc?language=masa1307,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,ok
wamp1248,https://glottolog.org/langdoc?language=wamp1248,3,0,0,0,1,0,1,2,1,0,0,3,0,0,0,0,0,ok
mung1272,https://glottolog.org/langdoc?language=mung1272,9,0,0,0,0,1,1,3,1,0,0,4,0,0,0,0,0,ok
samb1315,https://glottolog.org/langdoc?language=samb1315,33,0,3,0,2,0,4,2,0,0,9,4,0,1,2,0,0,ok
kaye1241,https://glottolog.org/langdoc?language=kaye1241,12,0,0,0,0,1,3,6,1,0,2,7,0,1,2,0,0,ok
west2513,https://glottolog.org/langdoc?language=west2513,6,0,1,0,0,0,1,2,0,0,1,2,1,1,0,1,0,ok
lash1243,https://glottolog.org/langdoc?language=lash1243,17,0,3,2,1,0,5,2,2,0,3,9,1,0,0,0,0,ok
jude1267,https://glottolog.org/langdoc?language=jude1267,11,1,2,1,0,1,0,1,0,0,4,0,0,2,0,0,0,ok
xian1251,https://glottolog.org/langdoc?language=xian1251,33,3,7,6,7,0,0,10,1,2,0,6,1,1,1,0,0,ok
nucl1396,https://glottolog.org/langdoc?language=nucl1396,79,1,8,6,0,0,6,7,1,0,9,5,0,1,1,0,0,ok
mich1245,https://glottolog.org/langdoc?language=mich1245,14,0,4,1,0,0,5,4,0,1,0,3,0,1,1,0,0,ok
torr1261,https://glottolog.org/langdoc?language=torr1261,14,0,3,3,0,0,1,2,0,0,0,2,0,0,2,0,0,ok
kark1256,https://glottolog.org/langdoc?language=kark1256,25,0,0,0,2,1,7,5,2,0,0,3,1,4,4,0,0,ok
vemg1240,https://glottolog.org/langdoc?language=vemg1240,8,0,0,0,0,0,4,2,0,0,1,5,0,0,1,0,0,ok
cwib1235,https://glottolog.org/langdoc?language=cwib1235,2,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,ok
sanj1281,https://glottolog.org/langdoc?language=sanj1281,9,4,1,0,0,0,2,2,0,0,0,2,0,1,0,0,0,ok
taki1248,https://glottolog.org/langdoc?language=taki1248,52,0,1,1,0,0,7,6,1,0,2,10,1,2,0,0,0,ok
batu1255,https://glottolog.org/langdoc?language=batu1255,9,0,0,0,0,0,8,3,0,0,1,7,1,0,0,0,0,ok
naka1262,https://glottolog.org/langdoc?language=naka1262,65,1,1,3,0,2,8,9,3,0,28,9,0,3,2,1,0,ok
dhan1264,https://glottolog.org/langdoc?language=dhan1264,6,0,2,1,0,2,1,1,1,0,0,2,0,0,0,0,0,ok
biso1243,https://glottolog.org/langdoc?language=biso1243,10,0,0,0,0,0,4,6,0,0,1,5,0,0,0,0,0,ok
ibat1238,https://glottolog.org/langdoc?language=ibat1238,35,3,2,5,0,1,5,6,1,0,4,10,0,0,0,0,0,ok
lund1271,https://glottolog.org/langdoc?language=lund1271,30,3,2,1,1,0,7,4,5,0,7,10,3,0,1,0,0,ok
swam1239,https://glottolog.org/langdoc?language=swam1239,18,1,3,3,0,1,1,1,0,0,5,1,0,1,0,0,0,ok
apro1235,https://glottolog.org/langdoc?language=apro1235,8,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,ok
reel1238,https://glottolog.org/langdoc?language=reel1238,12,1,0,1,2,0,1,1,0,1,2,2,0,0,1,0,0,ok
waam1244,https://glottolog.org/langdoc?language=waam1244,44,1,2,3,0,0,4,1,0,0,3,4,0,1,0,0,0,ok
amha1245,https://glottolog.org/langdoc?language=amha1245,527,42,37,40,9,8,21,33,8,0,15,27,10,23,8,0,0,ok
woiw1237,https://glottolog.org/langdoc?language=woiw1237,51,2,7,0,0,0,10,10,3,0,5,9,0,1,0,0,0,ok
ikpe1243,https://glottolog.org/langdoc?language=ikpe1243,3,0,0,0,0,0,1,2,0,0,0,3,1,0,0,0,0,ok
ngun1270,https://glottolog.org/langdoc?language=ngun1270,8,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0,ok
nupo1240,https://glottolog.org/langdoc?language=nupo1240,26,1,0,0,2,1,4,6,0,0,1,7,0,1,1,0,0,ok
iran1262,https://glottolog.org/langdoc?language=iran1262,21,1,2,0,0,1,2,3,0,0,2,7,1,1,0,0,0,ok
mbum1254,https://glottolog.org/langdoc?language=mbum1254,37,2,3,1,1,0,7,0,0,0,9,11,0,2,2,0,0,ok
akei1237,https://glottolog.org/langdoc?language=akei1237,5,0,1,0,0,0,1,2,0,0,0,4,1,0,0,0,0,ok
wush1238,https://glottolog.org/langdoc?language=wush1238,8,0,0,2,0,0,3,3,0,0,0,3,0,3,0,0,0,ok
mala1480,https://glottolog.org/langdoc?language=mala1480,17,0,2,0,1,0,7,6,1,0,1,7,0,1,2,0,0,ok
papu1250,https://glottolog.org/langdoc?language=papu1250,35,0,4,2,0,0,4,4,7,1,0,6,0,8,2,0,0,ok
ocot1243,https://glottolog.org/langdoc?language=ocot1243,15,0,1,1,0,0,1,3,4,0,1,3,0,0,1,0,0,ok
omet1237,https://glottolog.org/langdoc?language=omet1237,3,0,0,0,0,0,1,3,0,0,0,3,0,1,1,0,0,ok
boli1256,https://glottolog.org/langdoc?language=boli1256,19,0,1,2,1,1,5,2,3,0,1,5,1,2,0,0,0,ok
mbar1254,https://glottolog.org/langdoc?language=mbar1254,5,0,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,ok
reng1252,https://glottolog.org/langdoc?language=reng1252,13,1,1,2,1,1,2,0,0,0,3,0,0,0,0,0,0,ok
palo1243,https://glottolog.org/langdoc?language=palo1243,19,0,3,4,0,3,2,5,0,0,0,5,0,1,0,0,0,ok
sapa1251,https://glottolog.org/langdoc?language=sapa1251,20,0,0,0,1,1,11,9,0,0,2,12,0,0,0,0,0,ok
shua1254,https://glottolog.org/langdoc?language=shua1254,29,1,2,0,1,1,1,7,0,0,2,6,0,2,4,0,0,ok
maza1294,https://glottolog.org/langdoc?language=maza1294,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,ok
blag1240,https://glottolog.org/langdoc?language=blag1240,13,1,4,0,0,0,2,5,0,0,0,3,0,2,0,0,0,ok
norw1255,https://glottolog.org/langdoc?language=norw1255,18,0,1,0,0,0,0,2,2,0,0,5,0,8,0,0,0,ok
bemb1258,https://glottolog.org/langdoc?language=bemb1258,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,ok
afro1254,https://glottolog.org/langdoc?language=afro1254,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,ok
varh1239,https://glottolog.org/langdoc?language=varh1239,4,1,1,2,0,1,1,1,0,0,0,1,0,0,0,0,0,ok
zaiw1241,https://glottolog.org/langdoc?language=zaiw1241,24,3,4,4,1,0,5,4,3,0,0,8,1,0,0,0,0,ok
mere1242,https://glottolog.org/langdoc?language=mere1242,7,0,1,0,0,1,1,4,0,0,0,3,1,0,0,0,0,ok
sion1247,https://glottolog.org/langdoc?language=sion1247,115,1,5,3,2,5,10,8,0,0,13,5,0,0,1,0,0,ok
beng1239,https://glottolog.org/langdoc?language=beng1239,10,0,2,1,1,0,0,2,0,0,0,2,0,1,3,0,0,ok
furu1242,https://glottolog.org/langdoc?language=furu1242,12,1,3,1,0,0,2,2,0,1,0,3,0,0,0,0,0,ok
yauy1235,https://glottolog.org/langdoc?language=yauy1235,18,0,2,2,0,3,1,7,2,0,0,4,0,3,1,0,0,ok
haru1245,https://glottolog.org/langdoc?language=haru1245,29,0,0,1,0,0,3,9,3,0,1,7,1,8,0,0,0,ok
nucl1418,https://glottolog.org/langdoc?language=nucl1418,29,0,3,0,2,0,8,0,0,1,3,8,0,1,0,0,0,ok
ider1238,https://glottolog.org/langdoc?language=ider1238,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,ok
zeeu1238,https://glottolog.org/langdoc?language=zeeu1238,16,3,5,0,4,0,1,0,0,0,1,0,0,2,3,0,0,ok
sang1315,https://glottolog.org/langdoc?language=sang1315,10,2,5,0,0,0,1,3,1,0,0,3,0,0,0,0,0,ok
kuta1241,https://glottolog.org/langdoc?language=kuta1241,4,0,0,0,0,0,2,2,0,0,0,4,0,0,1,0,0,ok
yagw1240,https://glottolog.org/langdoc?language=yagw1240,6,0,0,0,1,0,3,1,1,0,1,3,0,1,0,0,0,ok
somm1240,https://glottolog.org/langdoc?language=somm1240,8,0,0,0,0,1,0,4,1,0,0,4,0,1,0,0,0,ok
empl1237,https://glottolog.org/langdoc?language=empl1237,5,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,ok
mfum1238,https://glottolog.org/langdoc?language=mfum1238,11,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,ok
sout2697,https://glottolog.org/langdoc?language=sout2697,59,4,20,9,3,7,2,5,2,1,0,6,0,3,0,0,0,ok
tavr1235,https://glottolog.org/langdoc?language=tavr1235,29,5,3,0,1,1,11,1,4,0,7,2,1,0,4,0,0,ok
tuxi1238,https://glottolog.org/langdoc?language=tuxi1238,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,ok
keap1239,https://glottolog.org/langdoc?language=keap1239,21,0,3,0,0,0,11,6,1,0,2,11,0,1,0,0,0,ok
nene1249,https://glottolog.org/langdoc?language=nene1249,82,14,13,7,3,4,2,13,2,0,10,9,1,7,1,0,0,ok
deng1253,https://glottolog.org/langdoc?language=deng1253,3,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,ok
vatr1237,https://glottolog.org/langdoc?language=vatr1237,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,ok
muko1237,https://glottolog.org/langdoc?language=muko1237,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ok
zamb1239,https://glottolog.org/langdoc?language=zamb1239,6,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,ok
kolb1241,https://glottolog.org/langdoc?language=kolb1241,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,ok
saus1246,https://glottolog.org/langdoc?language=saus1246,4,0,0,0,0,0,2,2,1,0,0,3,0,0,0,0,0,ok
njye1238,https://glottolog.org/langdoc?language=njye1238,17,2,0,1,2,0,5,4,0,0,5,6,0,0,0,0,0,ok
tido1248,https://glottolog.org/langdoc?language=tido1248,26,3,1,2,1,0,8,4,0,0,3,8,0,1,0,0,0,ok
bola1249,https://glottolog.org/langdoc?language=bola1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
minz1235,https://glottolog.org/langdoc?language=minz1235,5,1,2,0,1,0,0,3,1,0,0,3,1,0,0,0,0,ok
yeru1240,https://glottolog.org/langdoc?language=yeru1240,23,0,3,1,0,0,7,3,5,0,7,11,1,1,0,0,0,ok
